Unused,ID,Timestamp,Query,Username,Content,cleaned_tweet,sentiment
0,1467820863,Mon Apr 06 22:22:23 PDT 2009,NO_QUERY,tautao,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,Broadband plan massive broken promise via www diigo com tautao Still waiting broadband,negative
"0,1467820906,Mon Apr 06 22:22:24 PDT 2009,NO_QUERY,voyage2k,""@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. "",Wow tons replies may unfollow see friends tweets scrolling feed lot,positive;",,,,,,,neutral
0,1467821085,Mon Apr 06 22:22:26 PDT 2009,NO_QUERY,crzy_cdn_bulas,our duck and chicken are taking wayyy too long to hatch ,duck chicken taking wayyy long hatch,negative
"0,1467821338,Mon Apr 06 22:22:30 PDT 2009,NO_QUERY,justnetgirl,""Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. "",Put vacation photos online yrs ago PC crashed forget name site,neutral;",,,,,,,neutral
0,1467821455,Mon Apr 06 22:22:32 PDT 2009,NO_QUERY,CiaraRenee,I need a hug ,need hug,neutral
"0,1467821715,Mon Apr 06 22:22:37 PDT 2009,NO_QUERY,deelau,""@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! "",sure PoS much want dont think trade away company assets sorry andy,positive;",,,,,,,neutral
0,1467822384,Mon Apr 06 22:22:47 PDT 2009,NO_QUERY,Lindsey0920,@oanhLove I hate when that happens... ,hate happens,negative
"0,1467822389,Mon Apr 06 22:22:47 PDT 2009,NO_QUERY,HybridMink,""I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm"",sad feeling Dallas going show got ta say though think shows would use music game mmm,negative;",,,,,,,neutral
0,1467822519,Mon Apr 06 22:22:49 PDT 2009,NO_QUERY,gzacher,Ugh....92 degrees tomorrow ,Ugh degrees tomorrow,neutral
0,1467822522,Mon Apr 06 22:22:49 PDT 2009,NO_QUERY,Jenn_L,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,u move thought u already sd Hmmm Random u found Glad hear yer well,neutral
"0,1467822687,Mon Apr 06 22:22:52 PDT 2009,NO_QUERY,xVivaLaJuicyx,""@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?"",miss ps commission Wutcha playing copped Blood Sand,neutral;",,,,,,,neutral
0,1467822918,Mon Apr 06 22:22:55 PDT 2009,NO_QUERY,krbleyle,just leaving the parking lot of work! ,leaving parking lot work,neutral
0,1467823437,Mon Apr 06 22:23:03 PDT 2009,NO_QUERY,xpika,The Life is cool. But not for Me. ,Life cool,positive
"0,1467823770,Mon Apr 06 22:23:08 PDT 2009,NO_QUERY,Henkuyinepu,""Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. "",Sadly though never gotten experience post coitus cigarette never,negative;",,,,,,,neutral
0,1467823851,Mon Apr 06 22:23:09 PDT 2009,NO_QUERY,ericg622,I had such a nice day. Too bad the rain comes in tomorrow at 5am ,nice day bad rain comes tomorrow,negative
0,1467824199,Mon Apr 06 22:23:15 PDT 2009,NO_QUERY,adri_mane,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,bad around lost job even pay phone bill lmao aw shucks,negative
0,1467824664,Mon Apr 06 22:23:23 PDT 2009,NO_QUERY,a_mariepyt,Damm back to school tomorrow ,Damm back school tomorrow,neutral
"0,1467824967,Mon Apr 06 22:23:28 PDT 2009,NO_QUERY,playboybacon,""Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?"",Mo jobs money hell min wage f n clams hour,neutral;",,,,,,,neutral
0,1467825003,Mon Apr 06 22:23:28 PDT 2009,NO_QUERY,leslierosales,@katortiz  Not forever... See you soon!,forever See soon,neutral
"0,1467825084,Mon Apr 06 22:23:30 PDT 2009,NO_QUERY,PresidentSnow,""@Lt_Algonquin agreed, I saw the failwhale allllll day today. "",agreed saw failwhale allllll day today,neutral;",,,,,,,neutral
0,1467825411,Mon Apr 06 22:23:35 PDT 2009,NO_QUERY,michrod,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,Oh Haha dude dont really look em unless someone says HEY ADDED Sorry terrible need pop,negative
